frequency_hz,raw_db,precise_central_db,precise_robust_db,safe_db,parametric_db,no_sub_db,no_high_db,ci95_low_db,ci95_high_db,effective_pairs,strings,families,median_snr_db,max_pair_influence,support_state,origin,temporal_resolution,spectral_resolution,total_central_with_gain_db
20.0,0.0009075728686666516,0.0014390216696238889,-0.00031154611137379186,0.0,-0.014825255511464895,0.0,0.0014390216696238889,-0.005509214302102706,0.006039773194273621,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.590055528061075
20.033765982017503,0.0009119630149908672,0.001518714032071902,-0.0002923921341866177,2.6711050815334955e-06,-0.01503207335495395,0.0,0.001518714032071902,-0.005317679115115029,0.0059737872968768325,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589975835698628
20.067588971112087,0.0009163531613150827,0.0015984063945199147,-0.0002732381569994435,5.622535056100202e-06,-0.01524097383204373,0.0,0.0015984063945199147,-0.0051261439281273516,0.005908929761001636,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.58989614333618
20.101469063528747,0.0009207433076392982,0.0016780987569679278,-0.0002540841798122693,8.854289923700121e-06,-0.015451963654004629,0.0,0.0016780987569679278,-0.004934608741139677,0.006079163800219273,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589816450973732
20.13540635567497,0.0009251334539635125,0.0017577911194159197,-0.00023493020262510013,1.2366369684333101e-05,-0.015665049288438742,0.0,0.0017577911194159197,-0.004773233905038253,0.006042605726276303,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589736758611282
20.16940094412101,0.0009295236002877282,0.0018374834818639327,-0.00021577622543792597,1.6158774337999408e-05,-0.015880236954362015,0.0,0.0018374834818639327,-0.0046341746034332795,0.005993367338725922,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589657066248835
20.203452925600157,0.0009339137466119437,0.0019171758443119456,-0.00019662224825075177,2.023150388469892e-05,-0.016097532617278178,0.0,0.0019171758443119456,-0.004495115301828305,0.005944128951175539,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589577373886387
20.237562397009018,0.000938303892936158,0.0019968682067599375,-0.00017746827106358262,2.4584558324431386e-05,-0.01631694198424641,0.0,0.0019968682067599375,-0.004356056000223367,0.005965938900523065,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.58949768152394
20.271729455407794,0.0009426940392603735,0.0020765605692079506,-0.00015831429387640845,2.9217937657197293e-05,-0.01653847049894412,0.0,0.0020765605692079506,-0.004216996698618393,0.005949650816356938,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589417989161491
20.30595419802054,0.0009470841855845891,0.0021562529316559633,-0.00013916031668923426,3.41316418829964e-05,-0.01676212333672548,0.0,0.0021562529316559633,-0.004077937397013419,0.005924157366398771,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589338296799044
20.34023672223547,0.0009514743319088035,0.002235945294103955,-0.00012000633950206508,3.9325671001828354e-05,-0.016987905399678115,0.0,0.002235945294103955,-0.003938878095408482,0.00589866391644061,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589258604436596
20.374577125605207,0.000955864478233019,0.0023156376565519688,-0.00010085236231489091,4.480002501369387e-05,-0.017215821311678134,0.0,0.0023156376565519688,-0.0037998187938035077,0.0058731704664824426,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589178912074146
20.408975505847074,0.0009602546245572345,0.0023953300189999815,-8.16983851277167e-05,5.055470391859257e-05,-0.017445875413445996,0.0,0.0023953300189999815,-0.003634154228512611,0.005847677016524275,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589099219711699
20.443431960843377,0.0009646447708814489,0.0024750223814479734,-6.254440794054757e-05,5.658970771652402e-05,-0.01767807175760391,0.0,0.0024750223814479734,-0.003438801316925183,0.005822183566566113,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.589019527349251
20.47794658864167,0.0009690349172056644,0.002554714743895986,-4.3390430753373376e-05,6.290503640748909e-05,-0.01791241410373648,0.0,0.002554714743895986,-0.0031636597395366226,0.005795036383983105,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588939834986803
20.51251948745504,0.0009734250635298788,0.0026344071063439784,-2.4236453566204224e-05,6.950068999148687e-05,-0.018148905913455585,0.0,0.0026344071063439784,-0.002870487898358026,0.005767591459791715,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588860142624355
20.547150755662393,0.0009778152098540943,0.0027140994687919915,-5.0824763790299765e-06,7.637666846851835e-05,-0.018387550345472008,0.0,0.0027140994687919915,-0.0025773160571793538,0.005740146535600318,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588780450261908
20.581840491808723,0.0009822053561783098,0.0027937918312400042,1.4071500808144109e-05,8.353297183858302e-05,-0.01862835025067382,0.0,0.0027937918312400042,-0.0023612914846566054,0.005795209503503307,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.58870075789946
20.6165887946054,0.0009865955025025255,0.002873484193688017,3.3225477995318356e-05,9.096960010168093e-05,-0.01887130816721412,0.0,0.002873484193688017,-0.0022428926228857744,0.005862245915435618,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.58862106553701
20.65139576293044,0.0009909856488267397,0.0029531765561360093,5.237945518248748e-05,9.868655325781136e-05,-0.01911642631560923,0.0,0.0029531765561360093,-0.002124493761114975,0.005929282327367913,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588541373174563
20.686261495828813,0.0009953757951509554,0.003032868918584022,7.15334323696617e-05,0.00010668383130697564,-0.019363706593848694,0.0,0.003032868918584022,-0.002006094899344145,0.005996318739300224,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588461680812115
20.72118609251269,0.000999765941475171,0.003112561281032035,9.068740955683587e-05,0.00011496143424917315,-0.019613150572518726,0.0,0.003112561281032035,-0.0018775751459876075,0.006048480432067999,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588381988449667
20.75616965236174,0.0010041560877993854,0.003192253643480027,0.00010984138674400505,0.00012351936208440304,-0.01986475948994082,0.0,0.003192253643480027,-0.0016844152869569078,0.006022508648845647,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.58830229608722
20.791212274923435,0.0010085462341236006,0.0032719460059280397,0.00012899536393117924,0.00013235761481266692,-0.02011853424732668,0.0,0.0032719460059280397,-0.0016195045619086408,0.005996536865623288,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588222603724772
20.82631405991329,0.0010129363804478164,0.0033516383683760533,0.0001481493411183534,0.00014147619243396403,-0.020374475403951122,0.0,0.0033516383683760533,-0.0015393305869776186,0.0059705650824009296,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588142911362324
20.861475107215185,0.0010173265267720308,0.0034313307308240447,0.00016730331830552253,0.0001508750949482934,-0.020632583172344943,0.0,0.0034313307308240447,-0.0013608670496917225,0.005944593299178579,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.588063218999874
20.896695516881625,0.0010217166730962463,0.003511023093272058,0.00018645729549269675,0.0001605543223556569,-0.020892857413508378,0.0,0.003511023093272058,-0.0013058578479968484,0.005918621515956219,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587983526637426
20.931975389134035,0.0010261068194204618,0.0035907154557200706,0.00020561127267987092,0.0001705138746560536,-0.02115529763214775,0.0,0.0035907154557200706,-0.0011910527634567938,0.005946021804545368,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587903834274979
20.967314824363047,0.0010304969657446762,0.0036704078181680625,0.00022476524986704004,0.00018075375184948243,-0.021419902971936106,0.0,0.0036704078181680625,-0.0011989492994589864,0.006018861298346869,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587824141912531
21.002713923128784,0.0010348871120688919,0.003750100180616076,0.00024391922705421426,0.00019127395393594559,-0.021686672210799927,0.0,0.003750100180616076,-0.0011557898000034217,0.006091700792148388,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587744449550083
21.03817278616114,0.0010392772583931072,0.0038297925430640888,0.0002630732042413885,0.00020207448091544186,-0.0219556037562331,0.0,0.0038297925430640888,-0.0011044590781718743,0.0061645402859499075,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587664757187635
21.07369151436007,0.0010436674047173216,0.003909484905512081,0.00028222718142855764,0.00021315533278797025,-0.022226695640639903,0.0,0.003909484905512081,-0.0010467577671357787,0.006287141336568657,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587585064825188
21.109270208795884,0.0010480575510415373,0.003989177267960094,0.00030138115861573186,0.00022451650955353293,-0.022499945516708947,0.0,0.003989177267960094,-0.0009112922427615794,0.00650181336708241,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.58750537246274
21.144908970709523,0.0010524476973657526,0.004068869630408106,0.00032053513580290597,0.00023615801121212873,-0.02277535065281907,0.0,0.004068869630408106,-0.0007758267183873816,0.00671648539759616,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.58742568010029
21.180607901512857,0.001056837843689967,0.004148561992856098,0.0003396891129900751,0.00024807983776375654,-0.02305290792847897,0.0,0.004148561992856098,-0.0006870344501054909,0.006931157428109855,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587345987737843
21.21636710278897,0.0010612279900141827,0.0042282543553041115,0.0003588430901772493,0.00026028198920841896,-0.023332613829802753,0.0,0.0042282543553041115,-0.0006914334801149025,0.007039325277045536,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587266295375395
21.252186676292443,0.0010656181363383982,0.004307946717752124,0.0003779970673644234,0.0002727644655461144,-0.023614464445022,0.0,0.004307946717752124,-0.000698194305904173,0.007112532043176207,0,0,0,,,No identificado,Regularized/not identified,adaptive,sinusoidal + DPSS + sub-bin,-10.587186603012947
